Time [yyyy-MM-dd HH:mm:ss],Water level at (Waal2_A_ 3753_233) [m AD],Water level at (Waal2_B_A_A_A_ 6438_712) [m AD],Water level at (Waal2_B_A_A_B_ 2469_155) [m AD]
2000-01-09 05:00:00,12_684,12_168,11_977
2000-01-09 06:00:00,12_704,12_185,11_992
2000-01-09 07:00:00,12_724,12_202,12_007
2000-01-09 08:00:00,12_744,12_219,12_022
2000-01-09 09:00:00,12_764,12_236,12_037
2000-01-09 10:00:00,12_785,12_252,12_052
2000-01-09 11:00:00,12_805,12_269,12_067
2000-01-09 12:00:00,12_826,12_286,12_082
2000-01-09 13:00:00,12_847,12_303,12_097
2000-01-09 14:00:00,12_869,12_321,12_113
2000-01-09 15:00:00,12_89,12_338,12_129
2000-01-09 16:00:00,12_912,12_356,12_145
2000-01-09 17:00:00,12_934,12_374,12_161
2000-01-09 18:00:00,12_956,12_392,12_178
2000-01-09 19:00:00,12_979,12_411,12_194
2000-01-09 20:00:00,13_002,12_43,12_212
2000-01-09 21:00:00,13_026,12_449,12_229
2000-01-09 22:00:00,13_05,12_469,12_247
2000-01-09 23:00:00,13_074,12_489,12_266
2000-01-10 00:00:00,13_098,12_51,12_284
2000-01-10 01:00:00,13_12,12_529,12_302
2000-01-10 02:00:00,13_14,12_548,12_32
2000-01-10 03:00:00,13_16,12_567,12_337
2000-01-10 04:00:00,13_178,12_584,12_353
2000-01-10 05:00:00,13_195,12_601,12_369
2000-01-10 06:00:00,13_213,12_617,12_384
2000-01-10 07:00:00,13_229,12_633,12_398
2000-01-10 08:00:00,13_246,12_649,12_413
2000-01-10 09:00:00,13_263,12_665,12_427
2000-01-10 10:00:00,13_28,12_681,12_442
2000-01-10 11:00:00,13_298,12_698,12_457
2000-01-10 12:00:00,13_315,12_714,12_472
2000-01-10 13:00:00,13_334,12_731,12_488
2000-01-10 14:00:00,13_353,12_749,12_504
2000-01-10 15:00:00,13_372,12_767,12_52
2000-01-10 16:00:00,13_393,12_786,12_538
2000-01-10 17:00:00,13_414,12_806,12_556
2000-01-10 18:00:00,13_438,12_828,12_576
2000-01-10 19:00:00,13_463,12_851,12_598
2000-01-10 20:00:00,13_521,12_891,12_631
2000-01-10 21:00:00,13_574,12_941,12_677
2000-01-10 22:00:00,13_613,12_986,12_72
2000-01-10 23:00:00,13_644,13_024,12_754
2000-01-11 00:00:00,13_67,13_057,12_78
2000-01-11 01:00:00,13_692,13_09,12_803
2000-01-11 02:00:00,13_71,13_122,12_825
2000-01-11 03:00:00,13_727,13_154,12_846
2000-01-11 04:00:00,13_742,13_184,12_867
2000-01-11 05:00:00,13_757,13_213,12_888
2000-01-11 06:00:00,13_772,13_242,12_909
2000-01-11 07:00:00,13_787,13_269,12_93
2000-01-11 08:00:00,13_802,13_296,12_953
2000-01-11 09:00:00,13_818,13_323,12_976
2000-01-11 10:00:00,13_834,13_349,12_999
2000-01-11 11:00:00,13_85,13_376,13_023
2000-01-11 12:00:00,13_866,13_401,13_047
2000-01-11 13:00:00,13_883,13_427,13_071
2000-01-11 14:00:00,13_901,13_452,13_094
2000-01-11 15:00:00,13_92,13_478,13_119
2000-01-11 16:00:00,13_939,13_503,13_144
2000-01-11 17:00:00,13_959,13_529,13_169
2000-01-11 18:00:00,13_979,13_555,13_195
2000-01-11 19:00:00,14,13_581,13_22
2000-01-11 20:00:00,14_022,13_606,13_245
2000-01-11 21:00:00,14_045,13_633,13_27
2000-01-11 22:00:00,14_069,13_659,13_296
2000-01-11 23:00:00,14_095,13_686,13_322
2000-01-12 00:00:00,14_122,13_712,13_348
2000-01-12 01:00:00,14_149,13_739,13_373
2000-01-12 02:00:00,14_177,13_765,13_399
2000-01-12 03:00:00,14_206,13_793,13_426
2000-01-12 04:00:00,14_236,13_821,13_453
2000-01-12 05:00:00,14_267,13_85,13_48
2000-01-12 06:00:00,14_301,13_881,13_51
2000-01-12 07:00:00,14_338,13_915,13_543
2000-01-12 08:00:00,14_378,13_951,13_578
2000-01-12 09:00:00,14_421,13_989,13_615
2000-01-12 10:00:00,14_466,14_028,13_656
2000-01-12 11:00:00,14_51,14_066,13_701
2000-01-12 12:00:00,14_554,14_104,13_752
2000-01-12 13:00:00,14_597,14_142,13_808
2000-01-12 14:00:00,14_639,14_18,13_866
2000-01-12 15:00:00,14_681,14_217,13_926
2000-01-12 16:00:00,14_72,14_251,13_983
2000-01-12 17:00:00,14_757,14_285,14_038
2000-01-12 18:00:00,14_794,14_322,14_09
2000-01-12 19:00:00,14_833,14_36,14_139
2000-01-12 20:00:00,14_871,14_399,14_186
2000-01-12 21:00:00,14_91,14_439,14_23
2000-01-12 22:00:00,14_945,14_479,14_272
2000-01-12 23:00:00,14_978,14_517,14_31
2000-01-13 00:00:00,15_008,14_554,14_346
2000-01-13 01:00:00,15_036,14_588,14_381
2000-01-13 02:00:00,15_063,14_621,14_414
2000-01-13 03:00:00,15_09,14_654,14_446
2000-01-13 04:00:00,15_116,14_685,14_478
2000-01-13 05:00:00,15_143,14_717,14_509
2000-01-13 06:00:00,15_172,14_748,14_54
2000-01-13 07:00:00,15_203,14_78,14_572
2000-01-13 08:00:00,15_237,14_811,14_603
2000-01-13 09:00:00,15_273,14_843,14_635
2000-01-13 10:00:00,15_311,14_875,14_667
2000-01-13 11:00:00,15_35,14_908,14_699
2000-01-13 12:00:00,15_388,14_942,14_732
2000-01-13 13:00:00,15_426,14_977,14_767
2000-01-13 14:00:00,15_462,15_014,14_803
2000-01-13 15:00:00,15_498,15_051,14_84
2000-01-13 16:00:00,15_533,15_089,14_877
2000-01-13 17:00:00,15_568,15_127,14_915
2000-01-13 18:00:00,15_604,15_166,14_953
2000-01-13 19:00:00,15_641,15_204,14_992
2000-01-13 20:00:00,15_678,15_243,15_03
2000-01-13 21:00:00,15_716,15_281,15_067
2000-01-13 22:00:00,15_754,15_319,15_105
2000-01-13 23:00:00,15_793,15_356,15_143
2000-01-14 00:00:00,15_832,15_394,15_18
2000-01-14 01:00:00,15_869,15_431,15_217
2000-01-14 02:00:00,15_906,15_467,15_253
2000-01-14 03:00:00,15_943,15_503,15_289
2000-01-14 04:00:00,15_978,15_538,15_324
2000-01-14 05:00:00,16_012,15_571,15_357
2000-01-14 06:00:00,16_044,15_603,15_389
2000-01-14 07:00:00,16_074,15_634,15_42
2000-01-14 08:00:00,16_102,15_662,15_449
2000-01-14 09:00:00,16_129,15_689,15_476
2000-01-14 10:00:00,16_155,15_715,15_502
2000-01-14 11:00:00,16_179,15_739,15_526
2000-01-14 12:00:00,16_202,15_762,15_55
2000-01-14 13:00:00,16_224,15_784,15_572
2000-01-14 14:00:00,16_244,15_805,15_593
2000-01-14 15:00:00,16_265,15_825,15_613
2000-01-14 16:00:00,16_284,15_845,15_633
2000-01-14 17:00:00,16_302,15_863,15_652
2000-01-14 18:00:00,16_32,15_881,15_67
2000-01-14 19:00:00,16_338,15_899,15_687
2000-01-14 20:00:00,16_354,15_915,15_704
2000-01-14 21:00:00,16_371,15_932,15_721
2000-01-14 22:00:00,16_387,15_947,15_736
2000-01-14 23:00:00,16_402,15_963,15_752
2000-01-15 00:00:00,16_417,15_978,15_767
2000-01-15 01:00:00,16_432,15_992,15_782
2000-01-15 02:00:00,16_446,16_007,15_796
2000-01-15 03:00:00,16_46,16_021,15_81
2000-01-15 04:00:00,16_474,16_034,15_824
2000-01-15 05:00:00,16_487,16_047,15_837
2000-01-15 06:00:00,16_499,16_059,15_849
2000-01-15 07:00:00,16_511,16_071,15_861
2000-01-15 08:00:00,16_522,16_082,15_872
2000-01-15 09:00:00,16_532,16_093,15_883
2000-01-15 10:00:00,16_543,16_103,15_893
2000-01-15 11:00:00,16_552,16_112,15_903
2000-01-15 12:00:00,16_561,16_122,15_912
2000-01-15 13:00:00,16_57,16_13,15_921
2000-01-15 14:00:00,16_578,16_139,15_929
2000-01-15 15:00:00,16_586,16_147,15_938
2000-01-15 16:00:00,16_594,16_155,15_945
2000-01-15 17:00:00,16_602,16_162,15_953
2000-01-15 18:00:00,16_609,16_17,15_96
2000-01-15 19:00:00,16_616,16_177,15_968
2000-01-15 20:00:00,16_623,16_183,15_974
2000-01-15 21:00:00,16_63,16_19,15_981
2000-01-15 22:00:00,16_636,16_197,15_988
2000-01-15 23:00:00,16_642,16_203,15_994
2000-01-16 00:00:00,16_649,16_209,16
2000-01-16 01:00:00,16_655,16_215,16_006
2000-01-16 02:00:00,16_661,16_221,16_012
2000-01-16 03:00:00,16_667,16_227,16_018
2000-01-16 04:00:00,16_672,16_232,16_023
2000-01-16 05:00:00,16_676,16_237,16_028
2000-01-16 06:00:00,16_68,16_241,16_033
2000-01-16 07:00:00,16_684,16_245,16_036
2000-01-16 08:00:00,16_686,16_247,16_039
2000-01-16 09:00:00,16_688,16_25,16_042
2000-01-16 10:00:00,16_69,16_252,16_044
2000-01-16 11:00:00,16_691,16_253,16_045
2000-01-16 12:00:00,16_691,16_254,16_046
2000-01-16 13:00:00,16_691,16_254,16_047
2000-01-16 14:00:00,16_691,16_254,16_047
2000-01-16 15:00:00,16_69,16_254,16_046
2000-01-16 16:00:00,16_689,16_253,16_046
2000-01-16 17:00:00,16_688,16_252,16_045
2000-01-16 18:00:00,16_687,16_251,16_044
2000-01-16 19:00:00,16_685,16_249,16_043
2000-01-16 20:00:00,16_683,16_248,16_041
2000-01-16 21:00:00,16_681,16_246,16_039
2000-01-16 22:00:00,16_679,16_244,16_037
2000-01-16 23:00:00,16_677,16_242,16_035
2000-01-17 00:00:00,16_674,16_239,16_033
2000-01-17 01:00:00,16_671,16_237,16_031
2000-01-17 02:00:00,16_669,16_234,16_028
2000-01-17 03:00:00,16_666,16_232,16_025
2000-01-17 04:00:00,16_662,16_229,16_022
2000-01-17 05:00:00,16_659,16_225,16_019
2000-01-17 06:00:00,16_654,16_221,16_015
2000-01-17 07:00:00,16_65,16_217,16_011
2000-01-17 08:00:00,16_644,16_212,16_006
2000-01-17 09:00:00,16_639,16_207,16_001
2000-01-17 10:00:00,16_633,16_201,15_996
2000-01-17 11:00:00,16_626,16_195,15_99
2000-01-17 12:00:00,16_62,16_189,15_984
2000-01-17 13:00:00,16_613,16_182,15_977
2000-01-17 14:00:00,16_605,16_175,15_97
2000-01-17 15:00:00,16_598,16_168,15_963
2000-01-17 16:00:00,16_59,16_161,15_956
2000-01-17 17:00:00,16_582,16_153,15_949
2000-01-17 18:00:00,16_574,16_146,15_941
2000-01-17 19:00:00,16_565,16_138,15_933
2000-01-17 20:00:00,16_557,16_129,15_925
2000-01-17 21:00:00,16_548,16_121,15_917
2000-01-17 22:00:00,16_539,16_113,15_908
2000-01-17 23:00:00,16_53,16_104,15_9
2000-01-18 00:00:00,16_521,16_095,15_891
2000-01-18 01:00:00,16_512,16_087,15_883
2000-01-18 02:00:00,16_503,16_078,15_874
2000-01-18 03:00:00,16_493,16_069,15_865
2000-01-18 04:00:00,16_484,16_059,15_856
2000-01-18 05:00:00,16_473,16_049,15_846
2000-01-18 06:00:00,16_462,16_039,15_835
2000-01-18 07:00:00,16_45,16_028,15_824
2000-01-18 08:00:00,16_438,16_016,15_813
2000-01-18 09:00:00,16_425,16_004,15_801
2000-01-18 10:00:00,16_411,15_991,15_788
2000-01-18 11:00:00,16_397,15_978,15_775
2000-01-18 12:00:00,16_383,15_964,15_762
2000-01-18 13:00:00,16_368,15_95,15_748
2000-01-18 14:00:00,16_353,15_935,15_734
2000-01-18 15:00:00,16_337,15_92,15_719
2000-01-18 16:00:00,16_321,15_905,15_704
