Time [yyyy-MM-dd HH:mm:ss],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s]
2000-01-11 19:00:00,1483_2,1483_2
2000-01-11 20:00:00,1495_9,1495_9
2000-01-11 21:00:00,1509_5,1509_5
2000-01-11 22:00:00,1522_7,1522_7
2000-01-11 23:00:00,1535_4,1535_4
2000-01-12 00:00:00,1548_3,1548_3
2000-01-12 01:00:00,1561_6,1561_6
2000-01-12 02:00:00,1575_8,1575_8
2000-01-12 03:00:00,1591_3,1591_3
2000-01-12 04:00:00,1608_2,1608_2
2000-01-12 05:00:00,1626_4,1626_4
2000-01-12 06:00:00,1645_8,1645_8
2000-01-12 07:00:00,1666_1,1666_1
2000-01-12 08:00:00,1687_1,1687_1
2000-01-12 09:00:00,1708_8,1708_8
2000-01-12 10:00:00,1730_8,1730_8
2000-01-12 11:00:00,1751_1,1751_1
2000-01-12 12:00:00,1770_5,1770_5
2000-01-12 13:00:00,1790_3,1790_3
2000-01-12 14:00:00,1811_1,1811_1
2000-01-12 15:00:00,1833_2,1833_2
2000-01-12 16:00:00,1856_9,1856_9
2000-01-12 17:00:00,1882_6,1882_6
2000-01-12 18:00:00,1910_9,1910_9
2000-01-12 19:00:00,1944,1944
2000-01-12 20:00:00,1983_1,1983_1
2000-01-12 21:00:00,2024_9,2024_9
2000-01-12 22:00:00,2069_2,2069_2
2000-01-12 23:00:00,2114_8,2114_8
2000-01-13 00:00:00,2161_2,2161_2
2000-01-13 01:00:00,2193_9,2193_9
2000-01-13 02:00:00,2221,2221
2000-01-13 03:00:00,2250_6,2250_6
2000-01-13 04:00:00,2281_3,2281_3
2000-01-13 05:00:00,2316_9,2316_9
2000-01-13 06:00:00,2358_6,2358_6
2000-01-13 07:00:00,2395_4,2395_4
2000-01-13 08:00:00,2426_3,2426_3
2000-01-13 09:00:00,2454_8,2454_8
2000-01-13 10:00:00,2512_9,2512_9
2000-01-13 11:00:00,2579_5,2579_5
2000-01-13 12:00:00,2643_7,2643_7
2000-01-13 13:00:00,2724_1,2724_1
2000-01-13 14:00:00,2803_6,2803_6
2000-01-13 15:00:00,2873_8,2873_8
2000-01-13 16:00:00,2942_7,2942_7
2000-01-13 17:00:00,3010_7,3010_7
2000-01-13 18:00:00,3077_6,3077_6
2000-01-13 19:00:00,3140_1,3140_1
2000-01-13 20:00:00,3184_2,3184_2
2000-01-13 21:00:00,3229_6,3229_6
2000-01-13 22:00:00,3277_7,3277_7
2000-01-13 23:00:00,3327_2,3327_2
2000-01-14 00:00:00,3377_3,3377_3
2000-01-14 01:00:00,3426_9,3426_9
2000-01-14 02:00:00,3472_4,3472_4
2000-01-14 03:00:00,3514_2,3514_2
2000-01-14 04:00:00,3553_2,3553_2
2000-01-14 05:00:00,3590_6,3590_6
2000-01-14 06:00:00,3626,3626
2000-01-14 07:00:00,3659_9,3659_9
2000-01-14 08:00:00,3692_5,3692_5
2000-01-14 09:00:00,3723_8,3723_8
2000-01-14 10:00:00,3754,3754
