Time [yyyy-MM-dd HH:mm:ss],50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s]
2000-01-09 13:00:00,1036_4
2000-01-09 14:00:00,1039_5
2000-01-09 15:00:00,1042_6
2000-01-09 16:00:00,1045_8
2000-01-09 17:00:00,1048_9
2000-01-09 18:00:00,1052
2000-01-09 19:00:00,1055_1
2000-01-09 20:00:00,1058_3
2000-01-09 21:00:00,1061_4
2000-01-09 22:00:00,1064_5
2000-01-09 23:00:00,1067_6
2000-01-10 00:00:00,1070_6
2000-01-10 01:00:00,1073_7
2000-01-10 02:00:00,1076_8
2000-01-10 03:00:00,1079_8
2000-01-10 04:00:00,1082_8
2000-01-10 05:00:00,1085_6
2000-01-10 06:00:00,1088_6
2000-01-10 07:00:00,1091_5
2000-01-10 08:00:00,1094_5
2000-01-10 09:00:00,1097_5
2000-01-10 10:00:00,1100_6
2000-01-10 11:00:00,1103_8
2000-01-10 12:00:00,1107_1
2000-01-10 13:00:00,1110_7
2000-01-10 14:00:00,1114_5
2000-01-10 15:00:00,1118_8
2000-01-10 16:00:00,1123_5
2000-01-10 17:00:00,1128_5
2000-01-10 18:00:00,1134
2000-01-10 19:00:00,1139_9
2000-01-10 20:00:00,1146_2
2000-01-10 21:00:00,1152_8
2000-01-10 22:00:00,1159_1
2000-01-10 23:00:00,1166_3
2000-01-11 00:00:00,1174_1
2000-01-11 01:00:00,1182_5
2000-01-11 02:00:00,1191_3
2000-01-11 03:00:00,1200_5
2000-01-11 04:00:00,1210_1
2000-01-11 05:00:00,1220
2000-01-11 06:00:00,1231_3
2000-01-11 07:00:00,1241_8
2000-01-11 08:00:00,1252_1
2000-01-11 09:00:00,1262_5
2000-01-11 10:00:00,1272_1
2000-01-11 11:00:00,1282_3
2000-01-11 12:00:00,1293_1
2000-01-11 13:00:00,1304_2
2000-01-11 14:00:00,1315_4
2000-01-11 15:00:00,1326_7
2000-01-11 16:00:00,1337_8
2000-01-11 17:00:00,1348_9
2000-01-11 18:00:00,1359_8
2000-01-11 19:00:00,1370_5
2000-01-11 20:00:00,1381_2
2000-01-11 21:00:00,1391_5
2000-01-11 22:00:00,1401_4
2000-01-11 23:00:00,1411_5
2000-01-12 00:00:00,1421_6
2000-01-12 01:00:00,1432
2000-01-12 02:00:00,1442_9
2000-01-12 03:00:00,1454_1
2000-01-12 04:00:00,1465_7
2000-01-12 05:00:00,1477_5
2000-01-12 06:00:00,1489_7
2000-01-12 07:00:00,1502_4
2000-01-12 08:00:00,1515_6
2000-01-12 09:00:00,1529_1
2000-01-12 10:00:00,1543_1
2000-01-12 11:00:00,1557_7
2000-01-12 12:00:00,1572_9
2000-01-12 13:00:00,1588_7
2000-01-12 14:00:00,1605_2
2000-01-12 15:00:00,1622_1
2000-01-12 16:00:00,1639_7
2000-01-12 17:00:00,1658_2
2000-01-12 18:00:00,1677_6
2000-01-12 19:00:00,1697_6
2000-01-12 20:00:00,1718_2
2000-01-12 21:00:00,1739_5
2000-01-12 22:00:00,1761_7
2000-01-12 23:00:00,1788_7
2000-01-13 00:00:00,1814_3
2000-01-13 01:00:00,1836_9
2000-01-13 02:00:00,1858
