Time [yyyy-MM-dd HH:mm:ss],50827ObsUS: Discharge at (IJssel09_A_ 1641_625)_ Flow1D [m³/s]
2000-01-09 05:00:00,1012_3
2000-01-09 06:00:00,1014_8
2000-01-09 07:00:00,1017_3
2000-01-09 08:00:00,1019_8
2000-01-09 09:00:00,1022_3
2000-01-09 10:00:00,1024_7
2000-01-09 11:00:00,1027_2
2000-01-09 12:00:00,1029_7
2000-01-09 13:00:00,1032_3
2000-01-09 14:00:00,1034_8
2000-01-09 15:00:00,1037_3
2000-01-09 16:00:00,1039_9
2000-01-09 17:00:00,1042_4
2000-01-09 18:00:00,1044_9
2000-01-09 19:00:00,1047_5
2000-01-09 20:00:00,1050
2000-01-09 21:00:00,1052_6
2000-01-09 22:00:00,1055_1
2000-01-09 23:00:00,1057_7
2000-01-10 00:00:00,1060_2
2000-01-10 01:00:00,1062_8
2000-01-10 02:00:00,1065_4
2000-01-10 03:00:00,1068
2000-01-10 04:00:00,1070_5
2000-01-10 05:00:00,1073_1
2000-01-10 06:00:00,1075_7
2000-01-10 07:00:00,1078_3
2000-01-10 08:00:00,1080_9
2000-01-10 09:00:00,1083_5
2000-01-10 10:00:00,1086
2000-01-10 11:00:00,1088_6
2000-01-10 12:00:00,1091_1
2000-01-10 13:00:00,1093_6
2000-01-10 14:00:00,1096_1
2000-01-10 15:00:00,1098_7
2000-01-10 16:00:00,1101_2
2000-01-10 17:00:00,1103_8
2000-01-10 18:00:00,1106_4
2000-01-10 19:00:00,1109_1
2000-01-10 20:00:00,1111_9
2000-01-10 21:00:00,1114_8
2000-01-10 22:00:00,1117_7
2000-01-10 23:00:00,1120_8
2000-01-11 00:00:00,1124
2000-01-11 01:00:00,1127_3
2000-01-11 02:00:00,1130_9
2000-01-11 03:00:00,1134_6
2000-01-11 04:00:00,1138_5
2000-01-11 05:00:00,1142_6
2000-01-11 06:00:00,1147_1
2000-01-11 07:00:00,1151_7
2000-01-11 08:00:00,1156_5
2000-01-11 09:00:00,1161_6
2000-01-11 10:00:00,1166_6
2000-01-11 11:00:00,1171_9
2000-01-11 12:00:00,1177_4
2000-01-11 13:00:00,1183
2000-01-11 14:00:00,1188_8
2000-01-11 15:00:00,1194_8
2000-01-11 16:00:00,1201_1
2000-01-11 17:00:00,1207_5
2000-01-11 18:00:00,1214_2
2000-01-11 19:00:00,1221
2000-01-11 20:00:00,1228
2000-01-11 21:00:00,1235_2
2000-01-11 22:00:00,1242_5
2000-01-11 23:00:00,1249_9
2000-01-12 00:00:00,1257_5
2000-01-12 01:00:00,1265_1
2000-01-12 02:00:00,1272_8
2000-01-12 03:00:00,1280_5
2000-01-12 04:00:00,1288_3
2000-01-12 05:00:00,1296_2
2000-01-12 06:00:00,1304_2
2000-01-12 07:00:00,1312_3
2000-01-12 08:00:00,1320_4
2000-01-12 09:00:00,1328_6
2000-01-12 10:00:00,1336_9
2000-01-12 11:00:00,1345_4
2000-01-12 12:00:00,1354
2000-01-12 13:00:00,1363
2000-01-12 14:00:00,1372_2
2000-01-12 15:00:00,1381_6
2000-01-12 16:00:00,1391_2
2000-01-12 17:00:00,1401_3
2000-01-12 18:00:00,1411_9
2000-01-12 19:00:00,1422_9
2000-01-12 20:00:00,1434_4
2000-01-12 21:00:00,1446_4
2000-01-12 22:00:00,1459
2000-01-12 23:00:00,1472_6
2000-01-13 00:00:00,1486_4
2000-01-13 01:00:00,1500_4
2000-01-13 02:00:00,1515
2000-01-13 03:00:00,1528_2
2000-01-13 04:00:00,1542_8
2000-01-13 05:00:00,1558_3
2000-01-13 06:00:00,1574_4
2000-01-13 07:00:00,1590_8
2000-01-13 08:00:00,1607_5
2000-01-13 09:00:00,1624_7
2000-01-13 10:00:00,1642_4
2000-01-13 11:00:00,1660_6
2000-01-13 12:00:00,1679_7
2000-01-13 13:00:00,1699_5
2000-01-13 14:00:00,1721_6
2000-01-13 15:00:00,1745_7
2000-01-13 16:00:00,1770_4
2000-01-13 17:00:00,1795_2
2000-01-13 18:00:00,1819_3
2000-01-13 19:00:00,1840_6
2000-01-13 20:00:00,1862_9
2000-01-13 21:00:00,1884_8
2000-01-13 22:00:00,1905_7
2000-01-13 23:00:00,1925_8
2000-01-14 00:00:00,1945_4
2000-01-14 01:00:00,1964_4
2000-01-14 02:00:00,1982_9
2000-01-14 03:00:00,2000_4
2000-01-14 04:00:00,2017_7
2000-01-14 05:00:00,2034_7
2000-01-14 06:00:00,2051_5
2000-01-14 07:00:00,2068
2000-01-14 08:00:00,2084_2
2000-01-14 09:00:00,2100_1
2000-01-14 10:00:00,2116
2000-01-14 11:00:00,2137_9
2000-01-14 12:00:00,2167_3
2000-01-14 13:00:00,2201
2000-01-14 14:00:00,2235_7
2000-01-14 15:00:00,2269_6
2000-01-14 16:00:00,2301_9
2000-01-14 17:00:00,2331_9
2000-01-14 18:00:00,2359_9
2000-01-14 19:00:00,2387
2000-01-14 20:00:00,2413_5
2000-01-14 21:00:00,2438_9
2000-01-14 22:00:00,2463_7
2000-01-14 23:00:00,2490_2
2000-01-15 00:00:00,2516_7
2000-01-15 01:00:00,2544
2000-01-15 02:00:00,2572_2
2000-01-15 03:00:00,2601_5
2000-01-15 04:00:00,2632_1
2000-01-15 05:00:00,2664_2
2000-01-15 06:00:00,2697_8
2000-01-15 07:00:00,2733_3
2000-01-15 08:00:00,2771
2000-01-15 09:00:00,2811_3
2000-01-15 10:00:00,2855_7
2000-01-15 11:00:00,2904_1
2000-01-15 12:00:00,2958_3
2000-01-15 13:00:00,3020_8
2000-01-15 14:00:00,3080_1
2000-01-15 15:00:00,3125_4
2000-01-15 16:00:00,3168_1
2000-01-15 17:00:00,3208_7
2000-01-15 18:00:00,3247_4
2000-01-15 19:00:00,3284_7
2000-01-15 20:00:00,3320_3
2000-01-15 21:00:00,3354_7
2000-01-15 22:00:00,3387_8
2000-01-15 23:00:00,3419_7
2000-01-16 00:00:00,3450_4
2000-01-16 01:00:00,3480_1
2000-01-16 02:00:00,3508_7
2000-01-16 03:00:00,3536_6
2000-01-16 04:00:00,3563_6
2000-01-16 05:00:00,3589_9
2000-01-16 06:00:00,3615_5
2000-01-16 07:00:00,3640_7
2000-01-16 08:00:00,3665_3
2000-01-16 09:00:00,3689_3
2000-01-16 10:00:00,3712_8
2000-01-16 11:00:00,3735_5
2000-01-16 12:00:00,3757_5
2000-01-16 13:00:00,3778_8
2000-01-16 14:00:00,3799_4
2000-01-16 15:00:00,3819_2
2000-01-16 16:00:00,3838_4
2000-01-16 17:00:00,3856_9
2000-01-16 18:00:00,3874_8
2000-01-16 19:00:00,3892
2000-01-16 20:00:00,3908_6
2000-01-16 21:00:00,3924_6
2000-01-16 22:00:00,3940
2000-01-16 23:00:00,3954_7
2000-01-17 00:00:00,3968_9
2000-01-17 01:00:00,3982_4
2000-01-17 02:00:00,3995_4
2000-01-17 03:00:00,4007_9
2000-01-17 04:00:00,4019_8
2000-01-17 05:00:00,4031_1
2000-01-17 06:00:00,4041_9
2000-01-17 07:00:00,4052_3
2000-01-17 08:00:00,4062_1
2000-01-17 09:00:00,4071_4
2000-01-17 10:00:00,4080_2
2000-01-17 11:00:00,4088_6
2000-01-17 12:00:00,4096_4
2000-01-17 13:00:00,4103_8
2000-01-17 14:00:00,4110_6
2000-01-17 15:00:00,4117
2000-01-17 16:00:00,4122_9
2000-01-17 17:00:00,4128_4
2000-01-17 18:00:00,4133_4
2000-01-17 19:00:00,4137_9
2000-01-17 20:00:00,4142
2000-01-17 21:00:00,4145_6
2000-01-17 22:00:00,4148_8
2000-01-17 23:00:00,4151_6
2000-01-18 00:00:00,4154
2000-01-18 01:00:00,4155_9
2000-01-18 02:00:00,4157_5
2000-01-18 03:00:00,4158_7
2000-01-18 04:00:00,4159_4
2000-01-18 05:00:00,4159_9
2000-01-18 06:00:00,4159_9
2000-01-18 07:00:00,4159_6
2000-01-18 08:00:00,4158_9
2000-01-18 09:00:00,4157_9
2000-01-18 10:00:00,4156_4
2000-01-18 11:00:00,4154_7
2000-01-18 12:00:00,4152_5
2000-01-18 13:00:00,4149_9
2000-01-18 14:00:00,4147
2000-01-18 15:00:00,4143_7
2000-01-18 16:00:00,4140
2000-01-18 17:00:00,4135_9
2000-01-18 18:00:00,4131_4
2000-01-18 19:00:00,4126_5
2000-01-18 20:00:00,4121_2
2000-01-18 21:00:00,4115_5
2000-01-18 22:00:00,4109_5
2000-01-18 23:00:00,4103
2000-01-19 00:00:00,4096_2
2000-01-19 01:00:00,4089
2000-01-19 02:00:00,4081_5
2000-01-19 03:00:00,4073_6
2000-01-19 04:00:00,4065_3
2000-01-19 05:00:00,4056_7
2000-01-19 06:00:00,4047_7
2000-01-19 07:00:00,4038_4
2000-01-19 08:00:00,4028_8
2000-01-19 09:00:00,4018_8
2000-01-19 10:00:00,4008_5
2000-01-19 11:00:00,3997_9
2000-01-19 12:00:00,3987
2000-01-19 13:00:00,3975_6
2000-01-19 14:00:00,3964
2000-01-19 15:00:00,3951_9
2000-01-19 16:00:00,3939_6
2000-01-19 17:00:00,3926_8
2000-01-19 18:00:00,3913_7
2000-01-19 19:00:00,3900_3
2000-01-19 20:00:00,3886_4
2000-01-19 21:00:00,3872_2
2000-01-19 22:00:00,3857_5
2000-01-19 23:00:00,3842_5
2000-01-20 00:00:00,3826_9
2000-01-20 01:00:00,3810_9
2000-01-20 02:00:00,3794_5
2000-01-20 03:00:00,3777_5
2000-01-20 04:00:00,3760_1
2000-01-20 05:00:00,3742_1
2000-01-20 06:00:00,3723_6
2000-01-20 07:00:00,3704_7
2000-01-20 08:00:00,3685_3
2000-01-20 09:00:00,3665_4
2000-01-20 10:00:00,3644_8
2000-01-20 11:00:00,3623_7
2000-01-20 12:00:00,3602
2000-01-20 13:00:00,3579_8
2000-01-20 14:00:00,3557
2000-01-20 15:00:00,3533_8
2000-01-20 16:00:00,3510
2000-01-20 17:00:00,3485_7
2000-01-20 18:00:00,3461
2000-01-20 19:00:00,3436_1
2000-01-20 20:00:00,3410_7
2000-01-20 21:00:00,3385
2000-01-20 22:00:00,3359_1
2000-01-20 23:00:00,3333
2000-01-21 00:00:00,3307
2000-01-21 01:00:00,3282_8
2000-01-21 02:00:00,3256_5
2000-01-21 03:00:00,3230
2000-01-21 04:00:00,3203_5
2000-01-21 05:00:00,3177
2000-01-21 06:00:00,3150_3
2000-01-21 07:00:00,3123_5
2000-01-21 08:00:00,3096_4
2000-01-21 09:00:00,3068_5
2000-01-21 10:00:00,3039_8
2000-01-21 11:00:00,3010_9
2000-01-21 12:00:00,2982_2
2000-01-21 13:00:00,2953_6
2000-01-21 14:00:00,2925_2
2000-01-21 15:00:00,2896_9
2000-01-21 16:00:00,2868_7
2000-01-21 17:00:00,2840_8
2000-01-21 18:00:00,2813_4
2000-01-21 19:00:00,2787
2000-01-21 20:00:00,2761_3
2000-01-21 21:00:00,2735_8
2000-01-21 22:00:00,2710_4
2000-01-21 23:00:00,2685_2
2000-01-22 00:00:00,2660_4
2000-01-22 01:00:00,2636_3
2000-01-22 02:00:00,2612_5
2000-01-22 03:00:00,2588_9
2000-01-22 04:00:00,2565_6
2000-01-22 05:00:00,2542_6
2000-01-22 06:00:00,2519_8
2000-01-22 07:00:00,2497_2
2000-01-22 08:00:00,2474_8
2000-01-22 09:00:00,2452_4
2000-01-22 10:00:00,2430_1
2000-01-22 11:00:00,2407_7
2000-01-22 12:00:00,2385_1
2000-01-22 13:00:00,2362_3
2000-01-22 14:00:00,2339_2
2000-01-22 15:00:00,2315_9
2000-01-22 16:00:00,2294
2000-01-22 17:00:00,2272_3
2000-01-22 18:00:00,2250_8
2000-01-22 19:00:00,2229_6
2000-01-22 20:00:00,2208_8
2000-01-22 21:00:00,2188_2
2000-01-22 22:00:00,2167_7
2000-01-22 23:00:00,2147_3
2000-01-23 00:00:00,2127_1
2000-01-23 01:00:00,2106_9
2000-01-23 02:00:00,2086_8
2000-01-23 03:00:00,2066_7
2000-01-23 04:00:00,2046_6
2000-01-23 05:00:00,2026_6
2000-01-23 06:00:00,2007
2000-01-23 07:00:00,1987_5
2000-01-23 08:00:00,1968_3
2000-01-23 09:00:00,1949_5
2000-01-23 10:00:00,1931_2
2000-01-23 11:00:00,1913_3
2000-01-23 12:00:00,1895_9
2000-01-23 13:00:00,1879_1
2000-01-23 14:00:00,1862_8
2000-01-23 15:00:00,1847_1
2000-01-23 16:00:00,1832
2000-01-23 17:00:00,1817_3
2000-01-23 18:00:00,1803
2000-01-23 19:00:00,1789_3
2000-01-23 20:00:00,1776_2
2000-01-23 21:00:00,1763_7
2000-01-23 22:00:00,1751_8
2000-01-23 23:00:00,1740_4
2000-01-24 00:00:00,1729_6
2000-01-24 01:00:00,1719_2
2000-01-24 02:00:00,1709_3
2000-01-24 03:00:00,1699_9
2000-01-24 04:00:00,1690_9
2000-01-24 05:00:00,1682_3
2000-01-24 06:00:00,1674_2
2000-01-24 07:00:00,1666_4
2000-01-24 08:00:00,1659
2000-01-24 09:00:00,1652
2000-01-24 10:00:00,1645_4
2000-01-24 11:00:00,1639_2
2000-01-24 12:00:00,1633_4
2000-01-24 13:00:00,1627_9
2000-01-24 14:00:00,1622_2
2000-01-24 15:00:00,1616_3
2000-01-24 16:00:00,1610_4
2000-01-24 17:00:00,1604_4
2000-01-24 18:00:00,1598_5
2000-01-24 19:00:00,1592_6
2000-01-24 20:00:00,1586_7
2000-01-24 21:00:00,1580_8
2000-01-24 22:00:00,1575
2000-01-24 23:00:00,1569_2
2000-01-25 00:00:00,1563_4
2000-01-25 01:00:00,1557_7
2000-01-25 02:00:00,1552
2000-01-25 03:00:00,1546_3
2000-01-25 04:00:00,1540_7
2000-01-25 05:00:00,1535_2
2000-01-25 06:00:00,1529_7
2000-01-25 07:00:00,1524_2
2000-01-25 08:00:00,1518_7
2000-01-25 09:00:00,1513_2
2000-01-25 10:00:00,1507_8
2000-01-25 11:00:00,1502_3
2000-01-25 12:00:00,1496_9
2000-01-25 13:00:00,1491_5
2000-01-25 14:00:00,1486_2
2000-01-25 15:00:00,1480_8
2000-01-25 16:00:00,1475_5
2000-01-25 17:00:00,1470_1
2000-01-25 18:00:00,1464_9
2000-01-25 19:00:00,1459_6
2000-01-25 20:00:00,1453_5
2000-01-25 21:00:00,1447_5
2000-01-25 22:00:00,1441_7
2000-01-25 23:00:00,1435_9
2000-01-26 00:00:00,1430_2
2000-01-26 01:00:00,1424_5
2000-01-26 02:00:00,1418_8
2000-01-26 03:00:00,1413_2
2000-01-26 04:00:00,1407_5
2000-01-26 05:00:00,1401_9
2000-01-26 06:00:00,1396_4
2000-01-26 07:00:00,1390_9
2000-01-26 08:00:00,1385_4
2000-01-26 09:00:00,1380
2000-01-26 10:00:00,1374_5
2000-01-26 11:00:00,1369_2
2000-01-26 12:00:00,1363_8
2000-01-26 13:00:00,1358_5
2000-01-26 14:00:00,1353_3
2000-01-26 15:00:00,1348_1
2000-01-26 16:00:00,1343
2000-01-26 17:00:00,1337_9
2000-01-26 18:00:00,1332_7
2000-01-26 19:00:00,1327_5
2000-01-26 20:00:00,1322_3
2000-01-26 21:00:00,1317_2
2000-01-26 22:00:00,1312_1
2000-01-26 23:00:00,1307
2000-01-27 00:00:00,1301_9
2000-01-27 01:00:00,1296_9
2000-01-27 02:00:00,1291_9
2000-01-27 03:00:00,1286_9
2000-01-27 04:00:00,1282
2000-01-27 05:00:00,1277_1
2000-01-27 06:00:00,1272_3
2000-01-27 07:00:00,1267_5
2000-01-27 08:00:00,1262_8
2000-01-27 09:00:00,1258_1
2000-01-27 10:00:00,1253_5
2000-01-27 11:00:00,1248_9
2000-01-27 12:00:00,1244_3
2000-01-27 13:00:00,1239_8
2000-01-27 14:00:00,1235_3
2000-01-27 15:00:00,1230_9
2000-01-27 16:00:00,1226_5
2000-01-27 17:00:00,1222_2
2000-01-27 18:00:00,1217_9
2000-01-27 19:00:00,1213_6
2000-01-27 20:00:00,1209_4
2000-01-27 21:00:00,1205_2
2000-01-27 22:00:00,1201_1
2000-01-27 23:00:00,1197
2000-01-28 00:00:00,1192_9
2000-01-28 01:00:00,1188_9
2000-01-28 02:00:00,1184_9
2000-01-28 03:00:00,1180_9
2000-01-28 04:00:00,1177
2000-01-28 05:00:00,1173_1
2000-01-28 06:00:00,1169_2
2000-01-28 07:00:00,1165_3
2000-01-28 08:00:00,1161_5
2000-01-28 09:00:00,1157_7
2000-01-28 10:00:00,1153_9
2000-01-28 11:00:00,1150_2
2000-01-28 12:00:00,1146_4
2000-01-28 13:00:00,1142_7
2000-01-28 14:00:00,1139_1
2000-01-28 15:00:00,1135_4
2000-01-28 16:00:00,1131_7
2000-01-28 17:00:00,1128
2000-01-28 18:00:00,1124_3
2000-01-28 19:00:00,1120_6
2000-01-28 20:00:00,1117
2000-01-28 21:00:00,1113_3
2000-01-28 22:00:00,1109_6
2000-01-28 23:00:00,1105_9
2000-01-29 00:00:00,1102_2
2000-01-29 01:00:00,1098_5
2000-01-29 02:00:00,1094_9
2000-01-29 03:00:00,1091_2
2000-01-29 04:00:00,1087_5
2000-01-29 05:00:00,1083_8
2000-01-29 06:00:00,1080_1
2000-01-29 07:00:00,1076_5
2000-01-29 08:00:00,1072_8
2000-01-29 09:00:00,1069_1
2000-01-29 10:00:00,1065_4
2000-01-29 11:00:00,1061_8
2000-01-29 12:00:00,1058_1
2000-01-29 13:00:00,1054_4
2000-01-29 14:00:00,1050_8
2000-01-29 15:00:00,1047_1
2000-01-29 16:00:00,1043_5
2000-01-29 17:00:00,1039_8
2000-01-29 18:00:00,1036_2
2000-01-29 19:00:00,1032_6
2000-01-29 20:00:00,1029_1
2000-01-29 21:00:00,1025_5
2000-01-29 22:00:00,1022
2000-01-29 23:00:00,1018_5
2000-01-30 00:00:00,1015
2000-01-30 01:00:00,1011_4
2000-01-30 02:00:00,1007_9
2000-01-30 03:00:00,1004_6
2000-01-30 04:00:00,1001_3
2000-01-30 05:00:00,998_02
2000-01-30 06:00:00,994_85
2000-01-30 07:00:00,991_71
2000-01-30 08:00:00,988_62
2000-01-30 09:00:00,985_56
2000-01-30 10:00:00,982_54
2000-01-30 11:00:00,979_55
2000-01-30 12:00:00,976_59
2000-01-30 13:00:00,973_65
2000-01-30 14:00:00,970_73
2000-01-30 15:00:00,967_85
2000-01-30 16:00:00,964_99
2000-01-30 17:00:00,962_16
2000-01-30 18:00:00,959_35
2000-01-30 19:00:00,956_55
