Time [yyyy-MM-dd HH:mm:ss],50878ObsUS: Discharge at (IJssel02_A_ 960_331)_ Flow1D [m³/s]
2000-01-09 14:00:00,956_64
2000-01-09 15:00:00,961_95
2000-01-09 16:00:00,967_35
2000-01-09 17:00:00,972_89
2000-01-09 18:00:00,978_51
2000-01-09 19:00:00,984_25
2000-01-09 20:00:00,990_1
2000-01-09 21:00:00,996_11
2000-01-09 22:00:00,1002_3
2000-01-09 23:00:00,1008_7
2000-01-10 00:00:00,1015_2
2000-01-10 01:00:00,1021_3
2000-01-10 02:00:00,1028_1
2000-01-10 03:00:00,1035_8
2000-01-10 04:00:00,1044_7
2000-01-10 05:00:00,1055_1
2000-01-10 06:00:00,1067
2000-01-10 07:00:00,1080_9
2000-01-10 08:00:00,1095_9
2000-01-10 09:00:00,1111_8
2000-01-10 10:00:00,1128_4
2000-01-10 11:00:00,1145_1
2000-01-10 12:00:00,1161_8
2000-01-10 13:00:00,1177_9
2000-01-10 14:00:00,1193_6
2000-01-10 15:00:00,1208_7
2000-01-10 16:00:00,1223_1
2000-01-10 17:00:00,1236_8
2000-01-10 18:00:00,1250_2
2000-01-10 19:00:00,1263
2000-01-10 20:00:00,1275_4
2000-01-10 21:00:00,1287_4
2000-01-10 22:00:00,1298_6
2000-01-10 23:00:00,1310_4
2000-01-11 00:00:00,1321_8
2000-01-11 01:00:00,1332_6
2000-01-11 02:00:00,1342_7
2000-01-11 03:00:00,1352_1
2000-01-11 04:00:00,1360_6
2000-01-11 05:00:00,1368_4
2000-01-11 06:00:00,1376_1
2000-01-11 07:00:00,1383
2000-01-11 08:00:00,1390_1
2000-01-11 09:00:00,1397_4
2000-01-11 10:00:00,1404_5
2000-01-11 11:00:00,1412_8
2000-01-11 12:00:00,1421_5
2000-01-11 13:00:00,1430_7
2000-01-11 14:00:00,1440_4
2000-01-11 15:00:00,1450_6
2000-01-11 16:00:00,1461_2
2000-01-11 17:00:00,1472_3
2000-01-11 18:00:00,1483_8
2000-01-11 19:00:00,1495_9
2000-01-11 20:00:00,1508_7
2000-01-11 21:00:00,1522_4
2000-01-11 22:00:00,1535
2000-01-11 23:00:00,1547_1
2000-01-12 00:00:00,1559_6
2000-01-12 01:00:00,1572_6
2000-01-12 02:00:00,1586_6
2000-01-12 03:00:00,1602_1
2000-01-12 04:00:00,1619
2000-01-12 05:00:00,1637_3
2000-01-12 06:00:00,1656_6
2000-01-12 07:00:00,1676_9
2000-01-12 08:00:00,1697_7
2000-01-12 09:00:00,1719_2
2000-01-12 10:00:00,1740_8
2000-01-12 11:00:00,1760
2000-01-12 12:00:00,1778_9
2000-01-12 13:00:00,1798_5
2000-01-12 14:00:00,1819_2
2000-01-12 15:00:00,1841_3
2000-01-12 16:00:00,1865_2
2000-01-12 17:00:00,1891_1
2000-01-12 18:00:00,1919_9
2000-01-12 19:00:00,1954_5
2000-01-12 20:00:00,1994_8
2000-01-12 21:00:00,2037_5
2000-01-12 22:00:00,2082_4
2000-01-12 23:00:00,2128_7
2000-01-13 00:00:00,2176_7
2000-01-13 01:00:00,2203_4
2000-01-13 02:00:00,2230_5
2000-01-13 03:00:00,2260_1
2000-01-13 04:00:00,2290_9
2000-01-13 05:00:00,2328_5
2000-01-13 06:00:00,2370_9
2000-01-13 07:00:00,2405_7
2000-01-13 08:00:00,2435_4
2000-01-13 09:00:00,2463_2
2000-01-13 10:00:00,2531_7
2000-01-13 11:00:00,2597_3
2000-01-13 12:00:00,2663_5
2000-01-13 13:00:00,2745_8
2000-01-13 14:00:00,2825_5
2000-01-13 15:00:00,2893_4
2000-01-13 16:00:00,2962_2
2000-01-13 17:00:00,3030_1
2000-01-13 18:00:00,3096_6
2000-01-13 19:00:00,3156_9
2000-01-13 20:00:00,3197_3
2000-01-13 21:00:00,3243
2000-01-13 22:00:00,3291_5
2000-01-13 23:00:00,3341_2
2000-01-14 00:00:00,3391_4
2000-01-14 01:00:00,3440_5
2000-01-14 02:00:00,3484_9
2000-01-14 03:00:00,3525_7
2000-01-14 04:00:00,3564
2000-01-14 05:00:00,3600_6
2000-01-14 06:00:00,3635_6
2000-01-14 07:00:00,3669_1
2000-01-14 08:00:00,3701_4
2000-01-14 09:00:00,3732_4
2000-01-14 10:00:00,3762_4
2000-01-14 11:00:00,3791_5
2000-01-14 12:00:00,3819_8
2000-01-14 13:00:00,3847_5
2000-01-14 14:00:00,3874_4
2000-01-14 15:00:00,3900_7
2000-01-14 16:00:00,3926_3
2000-01-14 17:00:00,3951_6
2000-01-14 18:00:00,3976_5
2000-01-14 19:00:00,4000_7
2000-01-14 20:00:00,4024_2
2000-01-14 21:00:00,4046_9
2000-01-14 22:00:00,4068_9
2000-01-14 23:00:00,4090_3
2000-01-15 00:00:00,4111_4
2000-01-15 01:00:00,4131_1
2000-01-15 02:00:00,4146_8
2000-01-15 03:00:00,4159_7
2000-01-15 04:00:00,4170_9
2000-01-15 05:00:00,4180_9
2000-01-15 06:00:00,4189_9
2000-01-15 07:00:00,4198_2
2000-01-15 08:00:00,4205_9
2000-01-15 09:00:00,4213
2000-01-15 10:00:00,4219_8
2000-01-15 11:00:00,4226_2
2000-01-15 12:00:00,4232_3
2000-01-15 13:00:00,4238_1
2000-01-15 14:00:00,4243_8
2000-01-15 15:00:00,4249_2
2000-01-15 16:00:00,4254_5
2000-01-15 17:00:00,4259_6
2000-01-15 18:00:00,4264_6
2000-01-15 19:00:00,4269_5
