Time [yyyy-MM-dd HH:mm:ss],50872ObsUS: Discharge at (Bovenrijn_A_ 1071_391)_ Flow1D [m³/s]
2000-01-08 22:00:00,7397_4
2000-01-08 23:00:00,7440_7
2000-01-09 00:00:00,7483_9
2000-01-09 01:00:00,7543_4
2000-01-09 02:00:00,7602_8
2000-01-09 03:00:00,7662_2
2000-01-09 04:00:00,7721_6
2000-01-09 05:00:00,7781
2000-01-09 06:00:00,7840_5
2000-01-09 07:00:00,7899_9
2000-01-09 08:00:00,7959_3
2000-01-09 09:00:00,8018_7
2000-01-09 10:00:00,8078_1
2000-01-09 11:00:00,8137_6
2000-01-09 12:00:00,8197
2000-01-09 13:00:00,8256_4
2000-01-09 14:00:00,8315_8
2000-01-09 15:00:00,8375_3
2000-01-09 16:00:00,8434_7
2000-01-09 17:00:00,8494_1
2000-01-09 18:00:00,8553_5
2000-01-09 19:00:00,8612_9
2000-01-09 20:00:00,8672_4
2000-01-09 21:00:00,8731_8
2000-01-09 22:00:00,8791_2
2000-01-09 23:00:00,8850_6
2000-01-10 00:00:00,8910
2000-01-10 01:00:00,9010_8
2000-01-10 02:00:00,9111_5
2000-01-10 03:00:00,9212_2
2000-01-10 04:00:00,9313
2000-01-10 05:00:00,9413_7
2000-01-10 06:00:00,9514_4
2000-01-10 07:00:00,9615_2
2000-01-10 08:00:00,9715_9
2000-01-10 09:00:00,9816_6
2000-01-10 10:00:00,9917_4
2000-01-10 11:00:00,10018
2000-01-10 12:00:00,10119
2000-01-10 13:00:00,10220
2000-01-10 14:00:00,10320
2000-01-10 15:00:00,10421
2000-01-10 16:00:00,10522
2000-01-10 17:00:00,10623
2000-01-10 18:00:00,10723
2000-01-10 19:00:00,10824
2000-01-10 20:00:00,10925
2000-01-10 21:00:00,11025
2000-01-10 22:00:00,11126
2000-01-10 23:00:00,11227
2000-01-11 00:00:00,11328
2000-01-11 01:00:00,11414
2000-01-11 02:00:00,11500
2000-01-11 03:00:00,11586
2000-01-11 04:00:00,11672
2000-01-11 05:00:00,11758
2000-01-11 06:00:00,11844
2000-01-11 07:00:00,11930
2000-01-11 08:00:00,12016
2000-01-11 09:00:00,12102
2000-01-11 10:00:00,12188
2000-01-11 11:00:00,12274
2000-01-11 12:00:00,12360
2000-01-11 13:00:00,12446
2000-01-11 14:00:00,12532
2000-01-11 15:00:00,12618
2000-01-11 16:00:00,12704
2000-01-11 17:00:00,12790
2000-01-11 18:00:00,12875
2000-01-11 19:00:00,12961
2000-01-11 20:00:00,13047
2000-01-11 21:00:00,13133
2000-01-11 22:00:00,13219
2000-01-11 23:00:00,13305
2000-01-12 00:00:00,13391
2000-01-12 01:00:00,13523
2000-01-12 02:00:00,13655
2000-01-12 03:00:00,13787
2000-01-12 04:00:00,13919
2000-01-12 05:00:00,14051
2000-01-12 06:00:00,14182
2000-01-12 07:00:00,14314
2000-01-12 08:00:00,14446
2000-01-12 09:00:00,14578
2000-01-12 10:00:00,14710
2000-01-12 11:00:00,14842
2000-01-12 12:00:00,14973
2000-01-12 13:00:00,15105
2000-01-12 14:00:00,15237
2000-01-12 15:00:00,15369
2000-01-12 16:00:00,15501
2000-01-12 17:00:00,15632
2000-01-12 18:00:00,15764
2000-01-12 19:00:00,15896
2000-01-12 20:00:00,16028
2000-01-12 21:00:00,16160
2000-01-12 22:00:00,16292
2000-01-12 23:00:00,16423
2000-01-13 00:00:00,16555
2000-01-13 01:00:00,16732
2000-01-13 02:00:00,16909
2000-01-13 03:00:00,17086
2000-01-13 04:00:00,17264
2000-01-13 05:00:00,17441
2000-01-13 06:00:00,17618
2000-01-13 07:00:00,17795
2000-01-13 08:00:00,17972
2000-01-13 09:00:00,18149
2000-01-13 10:00:00,18326
2000-01-13 11:00:00,18503
2000-01-13 12:00:00,18680
2000-01-13 13:00:00,18857
2000-01-13 14:00:00,19035
2000-01-13 15:00:00,19212
2000-01-13 16:00:00,19389
2000-01-13 17:00:00,19566
2000-01-13 18:00:00,19743
2000-01-13 19:00:00,19920
2000-01-13 20:00:00,20097
2000-01-13 21:00:00,20274
2000-01-13 22:00:00,20451
2000-01-13 23:00:00,20628
2000-01-14 00:00:00,20805
2000-01-14 01:00:00,20898
2000-01-14 02:00:00,20991
2000-01-14 03:00:00,21083
2000-01-14 04:00:00,21176
2000-01-14 05:00:00,21269
2000-01-14 06:00:00,21361
2000-01-14 07:00:00,21454
2000-01-14 08:00:00,21547
2000-01-14 09:00:00,21639
2000-01-14 10:00:00,21732
2000-01-14 11:00:00,21824
2000-01-14 12:00:00,21917
2000-01-14 13:00:00,22010
2000-01-14 14:00:00,22102
2000-01-14 15:00:00,22195
2000-01-14 16:00:00,22288
2000-01-14 17:00:00,22380
2000-01-14 18:00:00,22473
2000-01-14 19:00:00,22566
2000-01-14 20:00:00,22658
2000-01-14 21:00:00,22751
2000-01-14 22:00:00,22844
2000-01-14 23:00:00,22936
2000-01-15 00:00:00,23029
2000-01-15 01:00:00,23051
2000-01-15 02:00:00,23073
2000-01-15 03:00:00,23096
2000-01-15 04:00:00,23118
2000-01-15 05:00:00,23140
2000-01-15 06:00:00,23162
2000-01-15 07:00:00,23184
2000-01-15 08:00:00,23207
2000-01-15 09:00:00,23229
2000-01-15 10:00:00,23251
2000-01-15 11:00:00,23273
2000-01-15 12:00:00,23296
2000-01-15 13:00:00,23318
2000-01-15 14:00:00,23340
2000-01-15 15:00:00,23362
2000-01-15 16:00:00,23384
2000-01-15 17:00:00,23407
2000-01-15 18:00:00,23429
2000-01-15 19:00:00,23451
2000-01-15 20:00:00,23473
2000-01-15 21:00:00,23496
2000-01-15 22:00:00,23518
2000-01-15 23:00:00,23540
2000-01-16 00:00:00,23562
2000-01-16 01:00:00,23543
2000-01-16 02:00:00,23524
2000-01-16 03:00:00,23504
2000-01-16 04:00:00,23485
2000-01-16 05:00:00,23466
2000-01-16 06:00:00,23446
2000-01-16 07:00:00,23427
2000-01-16 08:00:00,23408
2000-01-16 09:00:00,23388
2000-01-16 10:00:00,23369
2000-01-16 11:00:00,23350
2000-01-16 12:00:00,23331
2000-01-16 13:00:00,23311
2000-01-16 14:00:00,23292
2000-01-16 15:00:00,23273
2000-01-16 16:00:00,23253
2000-01-16 17:00:00,23234
2000-01-16 18:00:00,23215
2000-01-16 19:00:00,23195
2000-01-16 20:00:00,23176
2000-01-16 21:00:00,23157
2000-01-16 22:00:00,23137
2000-01-16 23:00:00,23118
2000-01-17 00:00:00,23099
2000-01-17 01:00:00,23048
2000-01-17 02:00:00,22997
2000-01-17 03:00:00,22946
2000-01-17 04:00:00,22894
2000-01-17 05:00:00,22843
2000-01-17 06:00:00,22792
2000-01-17 07:00:00,22741
2000-01-17 08:00:00,22690
2000-01-17 09:00:00,22639
2000-01-17 10:00:00,22588
2000-01-17 11:00:00,22537
2000-01-17 12:00:00,22486
2000-01-17 13:00:00,22435
2000-01-17 14:00:00,22384
2000-01-17 15:00:00,22332
2000-01-17 16:00:00,22281
2000-01-17 17:00:00,22230
2000-01-17 18:00:00,22179
2000-01-17 19:00:00,22128
2000-01-17 20:00:00,22077
2000-01-17 21:00:00,22026
2000-01-17 22:00:00,21975
2000-01-17 23:00:00,21924
2000-01-18 00:00:00,21873
2000-01-18 01:00:00,21775
2000-01-18 02:00:00,21677
2000-01-18 03:00:00,21579
2000-01-18 04:00:00,21481
2000-01-18 05:00:00,21384
2000-01-18 06:00:00,21286
2000-01-18 07:00:00,21188
2000-01-18 08:00:00,21090
2000-01-18 09:00:00,20992
2000-01-18 10:00:00,20894
2000-01-18 11:00:00,20797
2000-01-18 12:00:00,20699
2000-01-18 13:00:00,20601
2000-01-18 14:00:00,20503
2000-01-18 15:00:00,20405
2000-01-18 16:00:00,20308
2000-01-18 17:00:00,20210
2000-01-18 18:00:00,20112
2000-01-18 19:00:00,20014
2000-01-18 20:00:00,19916
2000-01-18 21:00:00,19818
2000-01-18 22:00:00,19721
2000-01-18 23:00:00,19623
2000-01-19 00:00:00,19525
2000-01-19 01:00:00,19434
2000-01-19 02:00:00,19343
2000-01-19 03:00:00,19252
2000-01-19 04:00:00,19161
2000-01-19 05:00:00,19070
2000-01-19 06:00:00,18979
2000-01-19 07:00:00,18888
2000-01-19 08:00:00,18797
2000-01-19 09:00:00,18706
2000-01-19 10:00:00,18614
2000-01-19 11:00:00,18523
2000-01-19 12:00:00,18432
2000-01-19 13:00:00,18341
2000-01-19 14:00:00,18250
2000-01-19 15:00:00,18159
2000-01-19 16:00:00,18068
2000-01-19 17:00:00,17977
2000-01-19 18:00:00,17886
2000-01-19 19:00:00,17795
2000-01-19 20:00:00,17704
2000-01-19 21:00:00,17613
2000-01-19 22:00:00,17522
2000-01-19 23:00:00,17431
2000-01-20 00:00:00,17340
2000-01-20 01:00:00,17248
2000-01-20 02:00:00,17157
2000-01-20 03:00:00,17066
2000-01-20 04:00:00,16975
2000-01-20 05:00:00,16883
2000-01-20 06:00:00,16792
2000-01-20 07:00:00,16701
2000-01-20 08:00:00,16609
2000-01-20 09:00:00,16518
2000-01-20 10:00:00,16427
2000-01-20 11:00:00,16336
2000-01-20 12:00:00,16244
2000-01-20 13:00:00,16153
2000-01-20 14:00:00,16062
2000-01-20 15:00:00,15970
2000-01-20 16:00:00,15879
2000-01-20 17:00:00,15788
2000-01-20 18:00:00,15697
2000-01-20 19:00:00,15605
2000-01-20 20:00:00,15514
2000-01-20 21:00:00,15423
2000-01-20 22:00:00,15331
2000-01-20 23:00:00,15240
2000-01-21 00:00:00,15149
2000-01-21 01:00:00,15070
2000-01-21 02:00:00,14991
2000-01-21 03:00:00,14912
2000-01-21 04:00:00,14833
2000-01-21 05:00:00,14754
2000-01-21 06:00:00,14675
2000-01-21 07:00:00,14596
2000-01-21 08:00:00,14517
2000-01-21 09:00:00,14438
2000-01-21 10:00:00,14359
2000-01-21 11:00:00,14279
2000-01-21 12:00:00,14200
2000-01-21 13:00:00,14121
2000-01-21 14:00:00,14042
2000-01-21 15:00:00,13963
2000-01-21 16:00:00,13884
2000-01-21 17:00:00,13805
2000-01-21 18:00:00,13726
2000-01-21 19:00:00,13647
2000-01-21 20:00:00,13568
2000-01-21 21:00:00,13489
2000-01-21 22:00:00,13410
2000-01-21 23:00:00,13331
2000-01-22 00:00:00,13252
2000-01-22 01:00:00,13173
2000-01-22 02:00:00,13094
2000-01-22 03:00:00,13014
2000-01-22 04:00:00,12935
2000-01-22 05:00:00,12856
2000-01-22 06:00:00,12776
2000-01-22 07:00:00,12697
2000-01-22 08:00:00,12618
2000-01-22 09:00:00,12539
2000-01-22 10:00:00,12459
2000-01-22 11:00:00,12380
2000-01-22 12:00:00,12301
2000-01-22 13:00:00,12222
2000-01-22 14:00:00,12142
2000-01-22 15:00:00,12063
2000-01-22 16:00:00,11984
2000-01-22 17:00:00,11905
2000-01-22 18:00:00,11825
2000-01-22 19:00:00,11746
2000-01-22 20:00:00,11667
2000-01-22 21:00:00,11587
2000-01-22 22:00:00,11508
2000-01-22 23:00:00,11429
2000-01-23 00:00:00,11350
2000-01-23 01:00:00,11290
2000-01-23 02:00:00,11230
2000-01-23 03:00:00,11171
2000-01-23 04:00:00,11111
2000-01-23 05:00:00,11051
2000-01-23 06:00:00,10992
2000-01-23 07:00:00,10932
2000-01-23 08:00:00,10872
2000-01-23 09:00:00,10813
2000-01-23 10:00:00,10753
2000-01-23 11:00:00,10693
2000-01-23 12:00:00,10634
2000-01-23 13:00:00,10574
2000-01-23 14:00:00,10515
2000-01-23 15:00:00,10455
2000-01-23 16:00:00,10395
2000-01-23 17:00:00,10336
2000-01-23 18:00:00,10276
2000-01-23 19:00:00,10216
